,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,Tarifa   VICONOL -  EXWORK  ,,,
,,,,
,,,,
,ENTRADA EN VIGOR DE LA TARIFA,,,
,24 de Mayo 2025,,,
,,,,
,,,,
,VEHÍCULOS   LIGEROS,,,
,,,,
,NOMBRE DEL PRODUCTO,ESPECIFICACIONES / NIVEL DE CALIDAD,REFERENCIA,FORMATO
,,0W8 / 0W12 / 0W16,,
,,,VL200114,1000
,VICONOL- 0W8  ,API: SN             JASO GLV-1       ,VL200115,200
, HIBRI  PLUS,ILSAC  GF-6A,VL200116,50
,NEW    CON PAO,HONDA    TOYOTA      NISSAN,VL200117,20
,,,VL200112,5
,,,,
,,,VL200118,1000
,VICONOL- 0W12  ,API: SN             JASO GLV-1       ,VL200119,200
,HIBRI  PLUS,ILSAC  GF-6A,VL200120,50
,NEW    CON PAO,HONDA    TOYOTA      NISSAN,VL200121,20
,,,VL200122,5
,,,,
,,,VL200347,1000
,VICONOL- 0W16   ,API: SN             JASO GLV-1       ,VL200348,200
,HIBRI  PLUS,ILSAC  GF-6B,VL200349,50
,NEW    CON PAO,HONDA    TOYOTA      NISSAN,VL200350,20
,,,VL200353,5
,,,VL200545,1
,,,,
,,0W20,REFERENCIA,FORMATO
,,ACEA C6         ACEA C5       ,,
,,API: SN Plus-RC      API: SP/RC       ILSAC: GF-6A        ILSAC: GF-5   ,VL200304,1000
,VICONOL- 0W20  ,BMW LL-17 FE+        BMW LL-14 FE+,VL200305,200
,SAVING C6-C5,"Ford WSS-M2C947-A, WSS-M2C947-B1,  WSS-M2C952-A1, WSS-M2C962-A1   ",VL200306,50
,,"FIAT 9.55535-GSX (Fiat, alfa Romeo y Lancia)",VL200307,20
,,CHRYSLER MS-12145          MB 229.72     MB 229.71,VL200308,5
,, Vauxhall/GM OPEL: OV0401547  GM DEXOS D     VOLVO VCC RBS0-2AE,VL200309,1
,,,,
,,,,
,,,VL200650,1000
,VICONOL- 0W20   ,ACEA C5       ,VL200651,200
,17FE-RNT,Renault RN17FE,VL200652,50
,NEW,,VL200653,20
,,,VL200654,5
,,,,
,,,VL200048,1000
,VICONOL- 0W20   ,API: SN Plus-RC           Dexos1 Gen 2          ILSAC GF-6A,VL200049,200
,GM Dx1 - Gn2,CHRYSLER MS 6395        CHRYSLER MS-12145,VL200050,50
,, FIAT 9.55535-CR1 FIAT 9.55535-GSX        FORD WSSM2C947-A,VL200051,20
,,,VL200052,5
,,,,
,,,VL200030,1000
,VICONOL-  0W20  HIBRI C5 - P2010,ACEA C5        ,VL200031,200
,, PSA Peugeot/Citröen B71 2010,VL200032,50
,, FIAT 9.55535-DM1,VL200033,20
,,"TOYOTA,  MITSUBISHI,  SUZUKI, HONDA",VL200302,5
,,,VL200380,1
,,,,
,,ACEA C5 ,VL200000,1000
,VICONOL- ULTRA 508.509 C5 0W20, VW 508.00/509.00            ,VL200001,200
,,API SN         MB 229.71,VL200002,50
,,Porsche C20         Jaguar / Land Rover STJLR.51.5122,VL200003,20
,,,VL200228,5
,,,,
,,0W30,REFERENCIA,FORMATO
,,ACEA C2                  API:SN        ,VL200087,1000
,VICONOL-  0W30 , FORD WSS-M2C950-A,VL200088,200
, C2   -   950A,JAGUAR  & LAND ROVERST JLR.03.5007,VL200089,50
,,"Mazda, Toyota, Honda y Subaru",VL200090,20
,,,VL200227,5
,, ACEA C2            IVECO 18-1811  SC1  LV,VL200644,1000
,VICONOL-  0W30 , PSA B71 2312-2022     ,VL200645,200
, C2   -   PS2312-IVC1811, PSA B71 2290-2014   ,VL200646,50
,NEW    CON PAO, FIAT 9.55535-DS1,VL200647,20
,, FIAT 9.55535-GS1    ,VL200648,5
,,,,
,,ACEA C2                         ,VL200034,1000
,VICONOL-  0W30  , PSA B71 2312,VL200035,200
,C2   -   P2312,JAGUAR  & LAND ROVERST JLR.03.5007,VL200036,50
,,CHRYSLER MS-13340 / MS-90047       ,VL200037,20
,," Fiat 9,55535-GS1/DS1",VL200038,5
,,,VL200514,1
,,,,
,VICONOL-  0W30  ,ACEA C2      ,VL200315,1000
,C2   -   BM12, BMW Long Life-12 FE            ,VL200316,200
,, JAGUAR LAND ROVER STJLR.03.5007,VL200317,50
,,,VL200318,20
,,,,
,, ACEA C3           API:SN/CF            ,VL200004,1000
,, VW 504.00/507.00            ,VL200005,200
,VICONOL- ULTRA C3 0W30 504/7, BMW Long Life-04         Porsche C30   ,VL200006,50
,,MB 229.52       MB 229.51      MB 229.31 ,VL200007,20
,,FIAT 9.55535-GS1        FIAT 9.55535-DS1 ,VL200008,5
,,,,
,, VW 503.00 / 506.00 / 506.01         ,VL200009,1000
,VICONOL-  0W30  A5/B5 - W506,ACEA A5 A5 / B5,VL200010,200
,,BMW LL-01CFE,VL200011,50
